headline,category,url
Council trialling AI for special needs reports,Innovation,https://www.bbc.com/news/articles/cvg7633ygdvo
Protestors accuse Trump of corruption as he hosts crypto gala dinner,Innovation,https://www.bbc.com/news/articles/c74nn4ppdvdo
'World's greatest designer' Jony Ive joins OpenAI to 'reimagine' computers,Innovation,https://www.bbc.com/news/articles/c5y66yemjdmo
"M&S website back online, allowing users to browse",Innovation,https://www.bbc.com/news/articles/c0k374x1y8do
Radiology department marks 50 years of advancement,Innovation,https://www.bbc.com/news/articles/cy8ddn2j441o
Rail network adds defibrillators to all platforms,Innovation,https://www.bbc.com/news/articles/ckgnyne0k4ro
UK exposes Russian cyber campaign targeting support for Ukraine,Innovation,https://www.bbc.com/news/articles/c17rrjdr79po
Nvidia boss calls US chip policy a 'failure',Innovation,https://www.bbc.com/news/articles/c1ldd10m98eo
National parking platform seeks to end 'hassle' of multiple parking apps,Innovation,https://www.bbc.com/news/articles/ckg44pgn2g4o
What regular saunas do for your health,Innovation,https://www.bbc.com/future/article/20250520-are-saunas-and-cold-plunges-good-for-your-health
Chance for national park visitors to see the stars,Innovation,https://www.bbc.com/news/articles/cdj99yv3vvpo
Artist's 'heartbreak' over AI generated images,Innovation,https://www.bbc.com/news/articles/cvg5nz78ygdo
Did Trump really strike Gulf deals worth $2tn?,Innovation,https://www.bbc.com/news/articles/cn5yxp2v77ro
AI chatbot to be embedded in Google search,Innovation,https://www.bbc.com/news/articles/cpw77qwd117o
"Cyber-attack threat keeps me awake at night, UK bank boss says",Innovation,https://www.bbc.com/news/articles/c4g3372vl3yo
Fortnite faces complaint from actors' union over AI Darth Vader,Innovation,https://www.bbc.com/news/articles/cn844l3eznqo
Scientists in a race to discover why our Universe exists,Innovation,https://www.bbc.com/news/articles/cjwvgevjjl6o
Can AI therapists really be an alternative to human help?,Innovation,https://www.bbc.com/news/articles/ced2ywg7246o
Melania Trump says new revenge porn law will protect children online,Innovation,https://www.bbc.com/news/articles/c74qnyz89y3o
Peers demand more protection from AI for creatives,Innovation,https://www.bbc.com/news/articles/c39xj284e14o
